"pref","muni_code","hokenjo"
"北海道","01101","札幌市"
"北海道","01102","札幌市"
"北海道","01103","札幌市"
"北海道","01104","札幌市"
"北海道","01105","札幌市"
"北海道","01106","札幌市"
"北海道","01107","札幌市"
"北海道","01108","札幌市"
"北海道","01109","札幌市"
"北海道","01110","札幌市"
"北海道","01202","市立函館"
"北海道","01203","小樽市"
"北海道","01204","旭川市"
"北海道","01205","室蘭"
"北海道","01206","釧路"
"北海道","01207","帯広"
"北海道","01208","北見"
"北海道","01209","岩見沢"
"北海道","01210","岩見沢"
"北海道","01211","網走"
"北海道","01212","留萌"
"北海道","01213","苫小牧"
"北海道","01214","稚内"
"北海道","01215","岩見沢"
"北海道","01216","滝川"
"北海道","01217","江別"
"北海道","01218","滝川"
"北海道","01219","紋別"
"北海道","01220","名寄"
"北海道","01221","名寄"
"北海道","01222","岩見沢"
"北海道","01223","根室"
"北海道","01224","千歳"
"北海道","01225","滝川"
"北海道","01226","滝川"
"北海道","01227","滝川"
"北海道","01228","深川"
"北海道","01229","富良野"
"北海道","01230","室蘭"
"北海道","01231","千歳"
"北海道","01233","室蘭"
"北海道","01234","千歳"
"北海道","01235","江別"
"北海道","01236","渡島"
"北海道","01303","江別"
"北海道","01304","江別"
"北海道","01331","渡島"
"北海道","01332","渡島"
"北海道","01333","渡島"
"北海道","01334","渡島"
"北海道","01337","渡島"
"北海道","01343","渡島"
"北海道","01345","渡島"
"北海道","01346","八雲"
"北海道","01347","八雲"
"北海道","01361","江差"
"北海道","01362","江差"
"北海道","01363","江差"
"北海道","01364","江差"
"北海道","01367","江差"
"北海道","01370","八雲"
"北海道","01371","八雲"
"北海道","01391","倶知安"
"北海道","01392","倶知安"
"北海道","01393","倶知安"
"北海道","01394","倶知安"
"北海道","01395","倶知安"
"北海道","01396","倶知安"
"北海道","01397","倶知安"
"北海道","01398","倶知安"
"北海道","01399","倶知安"
"北海道","01400","倶知安"
"北海道","01401","岩内"
"北海道","01402","岩内"
"北海道","01403","岩内"
"北海道","01404","岩内"
"北海道","01405","倶知安"
"北海道","01406","倶知安"
"北海道","01407","倶知安"
"北海道","01408","倶知安"
"北海道","01409","倶知安"
"北海道","01423","岩見沢"
"北海道","01424","滝川"
"北海道","01425","滝川"
"北海道","01427","岩見沢"
"北海道","01428","岩見沢"
"北海道","01429","岩見沢"
"北海道","01430","岩見沢"
"北海道","01431","滝川"
"北海道","01432","滝川"
"北海道","01433","深川"
"北海道","01434","深川"
"北海道","01436","滝川"
"北海道","01437","深川"
"北海道","01438","深川"
"北海道","01452","上川"
"北海道","01453","上川"
"北海道","01454","上川"
"北海道","01455","上川"
"北海道","01456","上川"
"北海道","01457","上川"
"北海道","01458","上川"
"北海道","01459","上川"
"北海道","01460","富良野"
"北海道","01461","富良野"
"北海道","01462","富良野"
"北海道","01463","富良野"
"北海道","01464","名寄"
"北海道","01465","名寄"
"北海道","01468","名寄"
"北海道","01469","名寄"
"北海道","01470","名寄"
"北海道","01471","名寄"
"北海道","01472","上川"
"北海道","01481","留萌"
"北海道","01482","留萌"
"北海道","01483","留萌"
"北海道","01484","留萌"
"北海道","01485","留萌"
"北海道","01486","留萌"
"北海道","01487","留萌"
"北海道","01511","稚内"
"北海道","01512","稚内"
"北海道","01513","稚内"
"北海道","01514","稚内"
"北海道","01516","稚内"
"北海道","01517","稚内"
"北海道","01518","稚内"
"北海道","01519","稚内"
"北海道","01520","稚内"
"北海道","01543","北見"
"北海道","01544","北見"
"北海道","01545","網走"
"北海道","01546","網走"
"北海道","01547","網走"
"北海道","01549","北見"
"北海道","01550","北見"
"北海道","01552","紋別"
"北海道","01555","紋別"
"北海道","01559","紋別"
"北海道","01560","紋別"
"北海道","01561","紋別"
"北海道","01562","紋別"
"北海道","01563","紋別"
"北海道","01564","網走"
"北海道","01571","室蘭"
"北海道","01575","室蘭"
