"pref","cw_name","report_name"
"青森県","下北","下北"
"青森県","三戸","三戸・八戸市"
"青森県","上北","上北"
"青森県","西北","西北"
"青森県","青森市","東津軽・青森市"
"青森県","中南","中南"
"青森県","東津軽","東津軽・青森市"
"青森県","八戸市","三戸・八戸市"
"岩手県","一関","一関"
"岩手県","奥州","奥州"
"岩手県","釜石","釜石"
"岩手県","久慈","久慈"
"岩手県","宮古","宮古"
"岩手県","県央","県央"
"岩手県","盛岡市","盛岡市"
"岩手県","大船渡","大船渡"
"岩手県","中部","中部"
"岩手県","二戸","二戸"
"宮城県","塩釜","塩釜"
"宮城県","気仙沼","気仙沼"
"宮城県","石巻","石巻"
"宮城県","仙台市","仙台"
"宮城県","仙南","仙南"
"宮城県","大崎","大崎"
"秋田県","横手","横手"
"秋田県","秋田市","秋田市"
"秋田県","秋田中央","秋田中央"
"秋田県","大館","大館"
"秋田県","大仙","大仙"
"秋田県","湯沢","湯沢"
"秋田県","能代","能代"
"秋田県","北秋田","北秋田"
"秋田県","由利本荘","由利本荘"
"山形県","最上","最上"
"山形県","山形市","山形市"
"山形県","庄内","庄内"
"山形県","村山","村山"
"山形県","置賜","置賜"
"福島県","いわき市","いわき市"
"福島県","会津","会津"
"福島県","郡山市","郡山市"
"福島県","県中","県中"
"福島県","県南","県南"
"福島県","県北","県北"
"福島県","相双","相双"
"福島県","南会津","南会津"
"福島県","福島市","福島市"
"茨城県","つくば","つくば"
"茨城県","古河","古河"
"茨城県","水戸市","水戸市"
"茨城県","筑西","筑西"
"茨城県","中央","中央"
"茨城県","潮来","潮来"
"茨城県","土浦","土浦"
"茨城県","日立","日立"
"茨城県","竜ケ崎","竜ケ崎"
"栃木県","安足","安足"
"栃木県","宇都宮市","宇都宮市"
"栃木県","県西","県西"
"栃木県","県東","県東"
"栃木県","県南","県南"
"栃木県","県北","県北"
"群馬県","西毛","西毛（高崎市・藤岡・富岡・安中）"
"群馬県","中毛","中毛（前橋市・伊勢崎）"
"群馬県","東毛","東毛（館林・桐生・太田）"
"群馬県","北毛","北毛（渋川・吾妻・利根沼田）"
"富山県","高岡","高岡"
"富山県","新川","新川"
"富山県","中部","中部"
"富山県","砺波","砺波"
"富山県","富山市","富山市"
"富山県","高岡","高岡厚生センター"
"富山県","新川","新川厚生センター"
"富山県","中部","中部厚生センター"
"富山県","砺波","砺波厚生センター"
"富山県","富山市","富山市保健所"
"石川県","金沢市","金沢市"
"石川県","石川中央","石川中央"
"石川県","南加賀","南加賀"
"石川県","能登中部","能登中部"
"石川県","能登北部","能登北部"
"福井県","奥越","奥越"
"福井県","坂井","坂井"
"福井県","若狭","若狭"
"福井県","丹南","丹南"
"福井県","二州","二州"
"福井県","福井","福井"
"福井県","福井市","福井市"
"山梨県","峡東","峡東"
"山梨県","峡南","峡南"
"山梨県","甲府市","甲府市"
"山梨県","中北","中北"
"山梨県","富士･東部","富士東部"
"長野県","伊那","伊那"
"長野県","佐久","佐久"
"長野県","松本","松本"
"長野県","松本市","松本市"
"長野県","上田","上田"
"長野県","諏訪","諏訪"
"長野県","大町","大町"
"長野県","長野","長野"
"長野県","長野市","長野市"
"長野県","飯田","飯田"
"長野県","北信","北信"
"長野県","木曽","木曽"
"岐阜県","可茂","可茂"
"岐阜県","関","関"
"岐阜県","岐阜","岐阜"
"岐阜県","岐阜市","岐阜市"
"岐阜県","恵那","恵那"
"岐阜県","西濃","西濃"
"岐阜県","東濃","東濃"
"岐阜県","飛騨","飛騨"
"静岡県","賀茂","賀茂"
"静岡県","御殿場","御殿場"
"静岡県","西部","西部"
"静岡県","静岡市","静岡市"
"静岡県","中部","中部"
"静岡県","東部","東部"
"静岡県","熱海","熱海"
"静岡県","富士","富士"
"三重県","伊賀","伊賀"
"三重県","伊勢","伊勢"
"三重県","熊野","熊野"
"三重県","桑名","桑名"
"三重県","四日市市","四日市市"
"三重県","松阪","松阪"
"三重県","津","津"
"三重県","尾鷲","尾鷲"
"三重県","鈴鹿","鈴鹿"
"滋賀県","甲賀","甲賀"
"滋賀県","高島","高島"
"滋賀県","草津","草津"
"滋賀県","大津市","大津市"
"滋賀県","長浜","長浜"
"滋賀県","東近江","東近江"
"滋賀県","彦根","彦根"
"京都府","右京・西京","右京・西京"
"京都府","乙訓","乙訓"
"京都府","山城南","山城南"
"京都府","山城北","山城北"
"京都府","上京・中京・下京","上京・中京・下京"
"京都府","丹後","丹後"
"京都府","中丹西","中丹西"
"京都府","中丹東","中丹東"
"京都府","東山・山科","東山・山科"
"京都府","南・伏見","南・伏見"
"京都府","南丹","南丹"
"京都府","北・左京","北・左京"
"大阪府","堺市","堺市"
"大阪府","三島","三島"
"大阪府","泉州","泉州"
"大阪府","大阪市西部","大阪市西部"
"大阪府","大阪市東部","大阪市東部"
"大阪府","大阪市南部","大阪市南部"
"大阪府","大阪市北部","大阪市北部"
"大阪府","中河内","中河内"
"大阪府","南河内","南河内"
"大阪府","豊能","豊能"
"大阪府","北河内","北河内"
"奈良県","吉野","吉野"
"奈良県","郡山","郡山"
"奈良県","中和","中和(東)/中和(西)（要現地確認・境界は分割せず単一のまま）"
"奈良県","奈良市","奈良市"
"和歌山県","海南","海南"
"和歌山県","岩出","岩出"
"和歌山県","橋本","橋本"
"和歌山県","御坊","御坊"
"和歌山県","新宮","新宮"
"和歌山県","田辺","田辺"
"和歌山県","湯浅","湯浅"
"和歌山県","和歌山市","和歌山市"
"鳥取県","倉吉","中部"
"鳥取県","鳥取市","東部"
"鳥取県","米子","西部"
"岡山県","岡山市","岡山市"
"岡山県","真庭","真庭"
"岡山県","倉敷市","倉敷市"
"岡山県","備前","備前"
"岡山県","備中","備中"
"岡山県","備北","備北"
"岡山県","美作","美作"
"広島県","呉市","呉市"
"広島県","広島市","広島市"
"広島県","西部","西部"
"広島県","西部東","西部東"
"広島県","東部","東部"
"広島県","福山市","福山市"
"広島県","北部","北部"
"山口県","宇部環境","宇部"
"山口県","下関市","下関"
"山口県","岩国環境","岩国"
"山口県","山口環境","山口"
"山口県","周南環境","周南"
"山口県","長門環境","長門"
"山口県","萩環境","萩"
"山口県","防府","防府"
"山口県","柳井環境","柳井"
"徳島県","阿南","阿南"
"徳島県","吉野川","吉野川"
"徳島県","三好","三好"
"徳島県","徳島","徳島"
"徳島県","美波","美波"
"徳島県","美馬","美馬"
"香川県","高松市","高松市"
"香川県","小豆","小豆"
"香川県","西讃","西讃"
"香川県","中讃","中讃"
"香川県","東讃","東讃"
"愛媛県","宇和島","宇和島"
"愛媛県","今治","今治"
"愛媛県","四国中央","四国中央"
"愛媛県","松山市","松山市"
"愛媛県","西条","西条"
"愛媛県","中予","中予"
"愛媛県","八幡浜","八幡浜"
"高知県","安芸","安芸"
"高知県","高知市","高知市"
"高知県","須崎","須崎"
"高知県","中央西","中央西"
"高知県","中央東","中央東"
"高知県","幡多","幡多"
"福岡県","嘉穂・鞍手","嘉穂・鞍手"
"福岡県","久留米市","久留米市"
"福岡県","京築","京築"
"福岡県","糸島","糸島"
"福岡県","宗像・遠賀","宗像・遠賀"
"福岡県","筑紫","筑紫"
"福岡県","田川","田川"
"福岡県","南筑後","南筑後"
"福岡県","粕屋","粕屋"
"福岡県","福岡市","福岡市"
"福岡県","北九州市","北九州市"
"福岡県","北筑後","北筑後"
"佐賀県","伊万里","伊万里"
"佐賀県","杵藤","杵藤"
"佐賀県","佐賀中部","佐賀中部"
"佐賀県","鳥栖","鳥栖"
"佐賀県","唐津","唐津"
"長崎県","壱岐","壱岐"
"長崎県","県央","県央"
"長崎県","県南","県南"
"長崎県","県北","県北"
"長崎県","五島","五島"
"長崎県","佐世保市","佐世保市"
"長崎県","上五島","上五島"
"長崎県","西彼","西彼"
"長崎県","対馬","対馬"
"長崎県","長崎市","長崎市"
"熊本県","阿蘇","阿蘇"
"熊本県","宇城","宇城"
"熊本県","菊池","菊池"
"熊本県","熊本市","熊本市"
"熊本県","御船","御船"
"熊本県","山鹿","山鹿"
"熊本県","人吉","人吉"
"熊本県","水俣","水俣"
"熊本県","天草","天草"
"熊本県","八代","八代"
"熊本県","有明","有明"
"宮崎県","延岡","延岡"
"宮崎県","宮崎市","宮崎市"
"宮崎県","高千穂","高千穂"
"宮崎県","高鍋","高鍋"
"宮崎県","小林","小林"
"宮崎県","中央","中央"
"宮崎県","都城","都城"
"宮崎県","日向","日向"
"宮崎県","日南","日南"
"鹿児島県","姶良","姶良"
"鹿児島県","伊集院","伊集院"
"鹿児島県","屋久島","屋久島"
"鹿児島県","加世田","加世田"
"鹿児島県","志布志","志布志"
"鹿児島県","指宿","指宿"
"鹿児島県","鹿屋","鹿屋"
"鹿児島県","鹿児島市","鹿児島市"
"鹿児島県","出水","出水"
"鹿児島県","西之表","西之表"
"鹿児島県","川薩","川薩"
"鹿児島県","大口","大口"
"鹿児島県","徳之島","徳之島"
"鹿児島県","名瀬","名瀬"
"沖縄県","宮古","宮古"
"沖縄県","中部","中部"
"沖縄県","那覇市","那覇市"
"沖縄県","南　部","南部"
"沖縄県","南部","南部"
"沖縄県","八重山","八重山"
"沖縄県","北部","北部"
