"pref","rating","format","hokenjo_n","hokenjo_names","sample_url","url_pattern","archive_from","notes"
"北海道","◎","地図（インタラクティブ）",31,"","https://www.iph.pref.hokkaido.jp/kansen/area.html","","2020","保健所別ページで疾患別・定点別の発生状況を個別表示。週報PDFは別途 weekly2026-NNw.pdf 系"
"青森県","◎","表（PDF）",6,"東津軽・青森市、中南、三戸・八戸市、西北、上北、下北","https://www.pref.aomori.lg.jp/soshiki/kenko/hoken/files/wr2025w13.pdf","https://www.pref.aomori.lg.jp/soshiki/kenko/hoken/files/wr{YEAR}w{WEEK}.pdf","2004","全数把握疾患も保健所別記載。A型/B型別・年齢区分別表もあり"
"岩手県","◎","地図（GIF画像・実数値付き）",10,"二戸、久慈、宮古、釜石、県央、盛岡市、中部、大船渡、奥州、一関","https://www2.pref.iwate.jp/~hp1353/kansen/image/imagemenu.html","","2022","疾患別に色分け地図＋実数値（例: 手足口病 二戸3.50等）。15疾患。画像は image/imageNN/img-XXXX.gif"
"宮城県","○","グラフ（棒グラフ、数値表なし）",6,"仙南、塩釜、大崎、石巻、気仙沼、仙台","https://www.pref.miyagi.jp/documents/1967/syuho202631w.pdf","","2013","ARI・手足口病・ヘルパンギーナ・水痘の4疾患のみ管内集計区分別グラフ。数値表ではない"
"秋田県","◎","表（PDF）",9,"秋田市、大館、北秋田、能代、秋田中央、由利本荘、大仙、横手、湯沢","https://idsc.pref.akita.jp/kss/RAPIDS.pdf","","2024（要再確認）","バックナンバー idsc.pref.akita.jp/kss/back.asp、RAPIDS_YYMM.pdf 形式"
"山形県","◎","表（PDF）",5,"山形市、村山、最上、置賜、庄内","https://www.eiken.yamagata.yamagata.jp/pdfshuho/2026/202631.pdf","https://www.eiken.yamagata.yamagata.jp/pdfshuho/{YEAR}/{YEAR}{WEEK}.pdf","2016","17疾患前後、警報/注意報レベル表示付き。全数把握疾患も保健所別集計表あり"
"福島県","◎","表（PDF）",9,"県北、県中、県南、会津、南会津、相双、いわき市、福島市、郡山市","https://www.pref.fukushima.lg.jp/uploaded/attachment/759652.pdf","","2025（週報PDFとしては短いが年報は2008年まで）",""
"茨城県","◎","表（PDF）",9,"中央、日立、潮来、竜ケ崎、土浦、つくば、筑西、古河、水戸市","https://www.pref.ibaraki.jp/hokenfukushi/eiken/idwr/weekly/documents/2026idwr31.pdf","https://www.pref.ibaraki.jp/hokenfukushi/eiken/idwr/weekly/documents/{YEAR}idwr{WEEK}.pdf","2008","全数・定点ともに保健所別。バックナンバーが特に長期"
"栃木県","◎","表（PDF）",6,"宇都宮市、県西、県東、県南、県北、安足","https://www.pref.tochigi.lg.jp/e60/tidc/documents/intidwr202631.pdf","","2019","警報・注意報基準も併記"
"群馬県","◎","表（PDF、地域区分）",4,"北毛（渋川・吾妻・利根沼田）、西毛（高崎市・藤岡・富岡・安中）、中毛（前橋市・伊勢崎）、東毛（館林・桐生・太田）","https://www.pref.gunma.jp/uploaded/attachment/710182.pdf","","2020","保健所単位ではなく4広域地域区分だが、ARI・小児科・眼科・基幹定点の全疾患を網羅。地域↔保健所対応表あり"
"埼玉県","◎","表（PDF）",10,"","https://www.pref.saitama.lg.jp/documents/277313/2026_31w.pdf","","1999","1999〜2024年の全数・定点データがExcel形式でもアーカイブ提供"
"千葉県","◎","表（PDF）",15,"","https://www.pref.chiba.lg.jp/eiken/c-idsc/documents/wr2632-2.pdf","","2012","年齢階級別・保健所別の詳細表、全5ページ構成"
"東京都","◎","表（PDF）",30,"","https://idsc.tmiph.metro.tokyo.lg.jp/assets/weekly/2026/31.pdf","https://idsc.tmiph.metro.tokyo.lg.jp/assets/weekly/{YEAR}/{WEEK}.pdf","要確認","23区＋市部、独自システム「東京都感染症情報センター」"
"神奈川県","◎","表（PDF）",NA,"","https://www.pref.kanagawa.jp/sys/eiken/003_center/0001_weekly/pdf/wrR08_31.pdf","","2001","保健福祉事務所別。表1（国還元データ）・表2（速報）の2系統"
"新潟県","○〜◎","表（PDF）",14,"","https://www.pref.niigata.lg.jp/uploaded/attachment/506688.pdf","","要確認","地域振興局等管内別"
"富山県","◎","表（PDF）",5,"砺波、高岡、富山市、中部、新川","https://www.pref.toyama.jp/documents/32640/teiten_hc_2632w.pdf","","要確認","厚生センター管内別、全18疾患超、全11ページ"
"石川県","◎","表（PDF）",5,"金沢市、南加賀、石川中央、能登中部、能登北部","https://www.pref.ishikawa.lg.jp/hokan/kansenjoho/stock/2026/documents/2026-32.pdf","https://www.pref.ishikawa.lg.jp/hokan/kansenjoho/stock/{YEAR}/documents/{YEAR}-{WEEK}.pdf","要確認（stock/配下に年別アーカイブ）","19疾患＋ARI別途"
"福井県","◎","表（PDF）",7,"福井市、福井、坂井、奥越、丹南、二州、若狭","https://kansensyou-joho.pref.fukui.lg.jp/image18/ih23202631.pdf","https://kansensyou-joho.pref.fukui.lg.jp/image18/ih23{YEAR}{WEEK}.pdf","2018年度（メニューページに記載）","旧URL info.pref.fukui.lg.jp は301リダイレクト"
"山梨県","◎","表（PDF）",5,"中北、峡東、峡南、富士東部、甲府市","https://www.pref.yamanashi.jp/documents/101494/202631w.pdf","","要確認",""
"長野県","◎","表（PDF）",12,"佐久、上田、諏訪、伊那、飯田、木曽、松本、大町、長野、北信、長野市、松本市","https://www.pref.nagano.lg.jp/shippei-kansen/kenko/kenko/kansensho/joho/documents/2026-32w_data_07m.pdf","","2023","週報・月報合併号、年齢階級別・保健所別定点数表も付属。最も詳細度が高い県の一つ"
"岐阜県","◎","表（PDF）",8,"岐阜市、岐阜、西濃、関、可茂、東濃、恵那、飛騨","https://www.pref.gifu.lg.jp/uploaded/attachment/509493.pdf","","要確認（GIDWRアーカイブページあり）",""
"静岡県","◎","表（PDF）",9,"賀茂、熱海、東部、御殿場、富士、静岡市、中部、西部、浜松市","https://www.pref.shizuoka.jp/_res/projects/default_project/_page_/001/081/723/2026idwr31-2.pdf","","2019","月報版の保健所別集計表も別途あり"
"愛知県","◎","表（PDF）",NA,"","https://www.pref.aichi.jp/eiseiken/kansen/2026/202631.pdf","https://www.pref.aichi.jp/eiseiken/kansen/{YEAR}/{YEAR}{WEEK}.pdf","要確認","名古屋市含む保健所別、年齢別表もあり"
"三重県","◎","表（PDF）",9,"桑名、四日市市、鈴鹿、津、松阪、伊勢、伊賀、尾鷲、熊野","https://www.kenkou.pref.mie.jp/M_products/WR_New.pdf","","要確認","「定点把握感染症の保健所別3週間の推移」ページも別途あり"
"滋賀県","◎","地図＋表（PDF）",7,"大津市、草津、甲賀、東近江、彦根、長浜、高島","https://www.pref.shiga.lg.jp/file/attachment/5628246.pdf","","要確認","手足口病等の圏域別マップ（色分け）＋全数・定点の累積患者数表（人口10万人当たり換算あり）。Map機能の参考実装として最優良"
"京都府","◎","CSV（機械可読・構造化データ）",12,"北・左京、上京・中京・下京、東山・山科、南・伏見、右京・西京、乙訓、山城北、山城南、南丹、中丹西、中丹東、丹後","https://www.pref.kyoto.jp/idsc/data/week/area-table/2026/documents/202631_2-2-2.csv","https://www.pref.kyoto.jp/idsc/data/week/area-table/{YEAR}/documents/{YEAR}{WEEK}_2-2-2.csv","2018","12地域×全疾患×報告数/定点当たり数の両方をCSVで毎週提供。実装に最も扱いやすい形式。Shift-JISエンコード"
"大阪府","◎","表（HTML）",NA,"豊能、三島、北河内、中河内、南河内、堺市、泉州、大阪市北部、大阪市西部、大阪市東部、大阪市南部","https://www.iph.pref.osaka.jp/infection/surv26/surv31t.html","https://www.iph.pref.osaka.jp/infection/surv{YEAR2}/surv{WEEK}t.html","2011","8ブロック+大阪市4区、報告数・定点当たり報告数の両方をHTML表で提供。年齢別報告数表も同ページ内"
"兵庫県","◎","Excel（機械可読・オープンデータ）",NA,"","https://web.pref.hyogo.lg.jp/iphs01/kansensho_jyoho/download/documents/weekly_2026-31w_t3201-t3203.xlsx","https://web.pref.hyogo.lg.jp/iphs01/kansensho_jyoho/download/documents/weekly_{YEAR}-{WEEK}w_t3201-t3203.xlsx","2015（オープンデータExcel、〜2024年分）","神戸市・尼崎市・姫路市・西宮市等、全保健所×全定点疾患(20疾患)を機械可読Excelで提供。シート:保健所別/年齢階級別/週別。2015〜2024年オープンデータあり"
"奈良県","◎","表（PDF）",6,"奈良市、郡山、中和（東）、中和（西）、吉野、県全体","https://www.pref.nara.lg.jp/documents/4352/0831.pdf","","要確認","北部/中部/南部の3ブロックの中に6細分。全数把握も保健所別内訳あり"
"和歌山県","◎","表（PDF）",9,"和歌山市、海南、岩出、橋本、湯浅、御坊、田辺、新宮、串本","https://www.pref.wakayama.lg.jp/prefg/031801/idsw/khdc/d00153694_d/fil/WIDR202631.pdf","","要確認","「保健所別の患者報告数」表（p.11付近）に全19疾患。警報・注意報レベル状況の週次推移表も別途あり"
"鳥取県","○","表（PDF、地域区分）",3,"東部、中部、西部","https://www.pref.tottori.lg.jp/secure/519458/R8W32_hp.pdf","","要確認","ユーザー確認済み：地域区分（3地区）で妥当とのこと。全国比較値も掲載"
"島根県","◎","専用システム（DIDSS）",NA,"","https://pref.shimane.didss.dsvc.jp/report/reportweekly","","2006","保健所別集計表＋分布マップ。山口県と同系統のシステム"
"岡山県","◎","表（PDF、マップ連動）",7,"岡山市、倉敷市、備前、備中、備北、真庭、美作","https://www.pref.okayama.jp/uploaded/life/1050510_10173723_misc.pdf","","要確認","「岡山県地区別感染症マップ」用のレベル判定（赤=レベル3/黄=レベル2）色分け表あり。全15ページ構成"
"広島県","◎","表（PDF）",7,"西部、西部東、東部、北部、広島市、呉市、福山市","https://www.pref.hiroshima.lg.jp/uploaded/attachment/678620.pdf","","2001","5類定点20疾患＋全数把握疾患すべてに地区別数値。最長の遡及可能性を確認できた県の一つ"
"山口県","◎","専用システム（DIDSS）",9,"下関、岩国、柳井、周南、防府、山口、宇部、長門、萩","https://pref.yamaguchi.didss.dsvc.jp/nesid/weekly?tab=4","","2006","PDF/CSVダウンロード可、島根県と同系統システム"
"徳島県","◎","表（PDF）",6,"徳島、阿南、美波、吉野川、美馬、三好","https://www.pref.tokushima.lg.jp/file/attachment/1070032.pdf","","要確認","ARI・COVID等について保健所別数値表、上位3位の小児科定点疾患も同様"
"香川県","◎","表（PDF）",5,"高松市、小豆、東讃、中讃、西讃","https://www.pref.kagawa.lg.jp/documents/7135/2026syuuhou31.pdf","","要確認（過去10年分の列が週報内にあり）","地区別定点数の内訳（小児科/ARI/眼科/基幹）も明記、警報・注意報地区の色分けあり"
"愛媛県","◎","表（PDF）",7,"四国中央、西条、今治、松山市、中予、八幡浜、宇和島","https://www.pref.ehime.jp/uploaded/attachment/187603.pdf","","要確認","患者報告数・定点当たり報告数の両方を保健所別表で提供。年齢階級別内訳表も同ページ"
"高知県","◎","表（PDF）",6,"安芸、中央東、高知市、中央西、須崎、幡多","https://www.pref.kochi.lg.jp/doc/2026011400132/file_contents/file_2026864114034_1.pdf","","要確認","p.5「疾病別・地域別報告数」にARI・小児科・眼科・基幹定点の全19疾患の保健所別表"
"福岡県","◎","表（HTML、保健所別ページ）",12,"北九州市、福岡市、久留米市、筑紫、粕屋、糸島、宗像・遠賀、嘉穂・鞍手、田川、北筑後、南筑後、京築","https://www.fihes.pref.fukuoka.jp/~idsc_fukuoka/idwr/table_t01/01.html","https://www.fihes.pref.fukuoka.jp/~idsc_fukuoka/idwr/table_t01/{NN}.html","要確認","保健所ごとに専用の週次数値表ページ（過去5週分×全定点疾患）。プルダウンで選択（idwr-f2.html）"
"佐賀県","◎","表（PDF、API経由生成）",5,"佐賀中部、鳥栖、唐津、伊万里、杵藤","https://kansen.pref.saga.jp/api/report/openPdf?schemaname=public&yw=202631","https://kansen.pref.saga.jp/api/report/openPdf?schemaname=public&yw={YEAR}{WEEK}","2010","p.3「定点報告：五類感染症」に5保健福祉事務所別×全19疾患。年週一覧は https://kansen.pref.saga.jp/api/report で機械的に取得可能（JSON）"
"長崎県","◎","表（PDF）",10,"佐世保市、長崎市、壱岐、西彼、県央、県南、県北、五島、上五島、対馬","https://www.pref.nagasaki.jp/fs/3/3/4/7/0/_/2026__31__7_27___8_2______.pdf","","要確認","p.4「疾病別・保健所管内別発生状況」に全19疾患、警報/注意報レベルの色分け付き"
"熊本県","◎","表（PDF）",11,"熊本市、山鹿、菊池、阿蘇、御船、八代、水俣、人吉、有明、宇城、天草","https://www.pref.kumamoto.jp/uploaded/attachment/316243.pdf","","要確認","p.6「保健所別発生状況」に全20疾患、年齢別発生状況表も別ページ"
"大分県","◎","表（PDF、男女別）",NA,"","https://www.pref.oita.jp/uploaded/attachment/2274543.pdf","","要確認","全9ページ構成、疾病・保健所別報告数を男女別・総数で提供"
"宮崎県","◎","表（PDF）",9,"宮崎市、都城、延岡、日南、小林、高鍋、高千穂、日向、中央","https://www.pref.miyazaki.lg.jp/contents/org/fukushi/eikanken/center/infectious/pdf/202631.pdf","https://www.pref.miyazaki.lg.jp/contents/org/fukushi/eikanken/center/infectious/pdf/{YEAR}{WEEK}.pdf","要確認","最終ページ(p.5)に9保健所×全16疾患の完全な数値表。警報基準値超過保健所の一覧表も別途あり"
"鹿児島県","◎","表（PDF）",15,"鹿児島市、指宿、加世田、伊集院、川薩、出水、大口、姶良、志布志、鹿屋、西之表、屋久島、名瀬、徳之島","https://www.pref.kagoshima.jp/ae06/kenko-fukushi/kenko-iryo/kansen/hasseidoko/week/documents/125377_20260806134914-1.pdf","","要確認","p.5「疾病別保健所別患者報告数及び定点当たり報告数」に全20疾患。旧ドメイン kagoshima-pref.jp は不可、pref.kagoshima.jp を使用"
"沖縄県","○","グラフ（折れ線、PDF）",6,"北部、中部、那覇市、南部、宮古、八重山","https://www.pref.okinawa.lg.jp/_res/projects/default_project/_page_/001/006/484/syuuho0831.pdf","","2013（年報アーカイブ）","週報(全38ページ)の各疾患ページに保健所別グラフ。数値表ではなくグラフ形式のため読み取り精度に限界あり。年報は2013〜2024年分あり"
