"keyword","source","title","link","snippet","posted","posted_date","epiyear","epiweek"
"急性呼吸器感染症","Google RSS","豊岡健康福祉事務所感染症発生動向調査週報 - pref.hyogo.lg.jp","https://news.google.com/rss/articles/CBMid0FVX3lxTE8xNjlUX2ptekVCWjl0WmVrMHQwTTZ4U3RoZGNidmJaUnNHY19qVnlVYUl1b2lwdlRjQzVmbVM0c3FUd1JpMllzQmxscndWMTlQaFA3MF9EQzdoTTFxQVdVTWVHS2YxTjNTMEF2Y010RVVCZnEtMVRZ?oc=5","豊岡健康福祉事務所感染症発生動向調査週報,"Fri, 25 Jul 2025 07:00:00 GMT",2025-07-25,2025,30
"急性呼吸器感染症","Google RSS","週報ー徳島県感染症発生動向調査ー｜徳島県ホームページ - pref.tokushima.lg.jp","https://news.google.com/rss/articles/CBMihAFBVV95cUxPWWlrdmhmNkVwT3ZTazZUR1c5dGZLTVdFSWE2WjVyTEJFdDRkS01HSVhIYmJwNUJEM09kX2NHdE03ZW9mTHhENHBZRS1zSHAwczRZYXU5ZU41b0hJU2hGWUZHX0c3OEhncnBONzV1djRzNVRrVmFCQkhBU25NaXV3WUdFVnQ?oc=5","週報ー徳島県感染症発生動向調査ー｜徳島県ホームページ,"Thu, 24 Jul 2025 07:00:00 GMT",2025-07-24,2025,30
"急性呼吸器感染症","Google RSS","2025年 第29週(令和7年7月14日から令和7年7月20日) - city.sakai.lg.jp","https://news.google.com/rss/articles/CBMizAFBVV95cUxQOG4xajdYS1VGdUhnZHdsbHlYZUxqcm9vcUhPZUZ0SFhCcENiYzlFTTBad0pydE85NW5sU3p3cWh2d1NsdVk0MHdJa1ZjeDlWWFNPbnByOHdNd2k3WFlyT0N6MEJvT0R3WGJWR3NDLWZwS0g0dC04OG9IUm9saXd5ZWk0WER0bHdtM1otcVFGbkZDakRoLS1JTW5sWkplRnV0anRVYXNaWEtSVkhoQVFaWV9SaWRfaGF6ZExKSVFzM1JteVJKcnpqQURKTU4?oc=5","2025年 第29週(令和7年7月14日から令和7年7月20日),"Fri, 25 Jul 2025 07:00:00 GMT",2025-07-25,2025,30
"急性呼吸器感染症","Google RSS","宮崎県感染症発生動向調査2025年第28号 -宮崎県衛生環境研究所- - pref.miyazaki.lg.jp","https://news.google.com/rss/articles/CBMilwFBVV95cUxNTkpOaHdndlZGN19uVmZJR19fZE5HMzFtOEhSYWxQcVBFZG85Y1Vkd3A3WmMycTRBeGZ6SFFwazlaYXhfLW5obllpbFhSMUY0OHZKN3l0dEF1Y2FXWG0wSW83eVdvVUVLV1BqZ000N2x1QUx5eXYyQmUxMmF2M3RnZnh1b2E0UVdwdGJWanVPTXF5QXBBWmY0?oc=5","宮崎県感染症発生動向調査2025年第28号 -宮崎県衛生環境研究所-,"Sun, 27 Jul 2025 06:01:15 GMT",2025-07-27,2025,30
"急性呼吸器感染症","Google RSS","神奈川県ARI情報2025年29週｜神奈川県衛生研究所 - pref.kanagawa.jp","https://news.google.com/rss/articles/CBMijgFBVV95cUxOWVVpRzNmVUJoVGZ6bVh4RDdjN0J4ZU90OGxZM3VsM0VoMWhkdjVGY1VuMXgzbXBLVjNVZE5YT283WHRxVHpaQ1RLcmJxNmRxTzcxRHIwUHFIUnVNaXd0TzJkV0tjdjBqOFZpM0JReEpOZjVFajdTcUxPY3h5S2RTblFIYldXYk04TFRMb1Bn?oc=5","神奈川県ARI情報2025年29週｜神奈川県衛生研究所,"Fri, 25 Jul 2025 02:50:06 GMT",2025-07-25,2025,30
"急性呼吸器感染症","Google RSS","広島県における定点把握感染症(五類)の週別・月別発生状況・5年平均比較 - pref.hiroshima.lg.jp","https://news.google.com/rss/articles/CBMiigFBVV95cUxOcDM2TlZBZDNSdlZLYkxWMld2MElTZkJWcHFSV0FmY09LMGtIc3c2aURwVktMcWN5TGdrZXg0bVRDdDdaMHQ0WFJVYmxweFNoYVI2N1Q2eVB1Y0ZUSVlGdlh2ZW9aR3B3VFBQUUkxV0FjcURuNWE1VFE2aUNjbWhmbVlZZXdZVnRyR0E?oc=5","広島県における定点把握感染症(五類)の週別・月別発生状況・5年平均比較,"Fri, 25 Jul 2025 07:00:00 GMT",2025-07-25,2025,30
"急性呼吸器感染症","Google RSS","RSウイルス感染症の流行状況 - pref.hiroshima.lg.jp","https://news.google.com/rss/articles/CBMidEFVX3lxTE15anh4LTVrTmNFdTVKMDR0bERFUGRwV05qYks3TXpsc2tyNzBqUFJhbTFYeHlsVG5QSFNIM21vcHdaUjhjQlhOZFJvSWNGb3Y0OTRvMXVmYThOV0Jlbzd0c0p1OHNreEVaYjBPQS1kTkZtLVZO?oc=5","RSウイルス感染症の流行状況,"Thu, 24 Jul 2025 07:00:00 GMT",2025-07-24,2025,30
"急性呼吸器感染症","Google RSS","〔急性呼吸器感染症定点当たり報告数まとめ〕全国の定点報告数52.66人(第28週)（レスキューナウニュース） - Yahoo!ニュース","https://news.google.com/rss/articles/CBMif0FVX3lxTFBGTjZkdWVVaXl6NTlTRG1SWUVaOGdBSnB2bUtuOVVPVTdlUGkxTDJiVEJiVlp6N2Izd3otY0FPTDdOazNKblUzeFFFaUN3WFNCT3FnSmdmMjQ2VXprc213cFdMTndsM2NvcXV1amg1NDAwb0ZrbEloLWNfS2NWbFk?oc=5","〔急性呼吸器感染症定点当たり報告数まとめ〕全国の定点報告数52.66人(第28週)（レスキューナウニュース）,"Tue, 22 Jul 2025 07:00:00 GMT",2025-07-22,2025,30
"急性呼吸器感染症","Google RSS","百日咳の報告数が増加しています - pref.ibaraki.jp","https://news.google.com/rss/articles/CBMihgFBVV95cUxOSUVTTlBmX1NnSzVERWh3ekJvSXZJczVhZzVfWFFGM0ticFl3MENPRDM1OW9rNDhEODAtUk10emx2MHlPMGNEUlJJOEJnU0VsUXFzdktkTXgxZlJFMEdzVl9PZHo0UEstdkViTVlCSVUyYy1IZC1fR0VfakdKZ2hBclFUUk43QQ?oc=5","百日咳の報告数が増加しています,"Thu, 24 Jul 2025 07:00:00 GMT",2025-07-24,2025,30
"インフルエンザ","Google RSS","インフルエンザ（季節性インフルエンザ）について - city.osaki.miyagi.jp","https://news.google.com/rss/articles/CBMimgFBVV95cUxPRkZGbTRqYjNDM1VyM2dIdi1Pem1vT28wWlV6V1VQbFpMeEstVV9wQjJiOHFGTnFJS3YzWnhweVdLUmRkVzl3Rm5RZ29FemVGOGRCd0xxQkNGT1kwX3J2RDFEbTMxMU1kT3h2Y000M1NyWXM1bW9LNHE3OHFOck5UTkg2V1lmbnZyeVVJNXpuemt1UUZvcHhTdG13?oc=5","インフルエンザ（季節性インフルエンザ）について,"Fri, 25 Jul 2025 07:00:00 GMT",2025-07-25,2025,30
